"","state","Year","Data.Population","Data.Rates.Property.All","Data.Rates.Property.Burglary","Data.Rates.Property.Larceny","Data.Rates.Property.Motor","Data.Rates.Violent.All","Data.Rates.Violent.Assault","Data.Rates.Violent.Murder","Data.Rates.Violent.Rape","Data.Rates.Violent.Robbery","Data.Totals.Property.All","Data.Totals.Property.Burglary","Data.Totals.Property.Larceny","Data.Totals.Property.Motor","Data.Totals.Violent.All","Data.Totals.Violent.Assault","Data.Totals.Violent.Murder","Data.Totals.Violent.Rape","Data.Totals.Violent.Robbery","ori","ori9","agency_name","state_abb","month","date","number_of_months_reported","month_reported_indicator","fips_state_code","fips_county_code","fips_state_county_code","fips_place_code","agency_type","crosswalk_agency_name","census_name","population_group","population","country_division","core_city_indication","fbi_field_office","covered_by_ori","agency_count","actual_commercial_sex_acts","actual_involuntary_serv","actual_total","tot_clr_commercial_sex_acts","tot_clr_involuntary_serv","tot_clr_total","clr_18_commercial_sex_acts","clr_18_involuntary_serv","clr_18_total","unfound_commercial_sex_acts","unfound_involuntary_serv","unfound_total","reported_commercial_sex_acts","reported_involuntary_serv","reported_total"
"1","alabama",2015,4858979,2978.9,725.6,2040.7,212.7,472.4,328.3,7.2,42,94.9,144746,35255,99156,10335,22952,15954,348,2039,4611,"AL00100","AL0010000","jefferson","AL","december","2015-12-01",0,0,1,73,1073,99073,"sheriffs office","jefferson county sheriff's office","jefferson county","msa-county 100,000+",145801,"east south central","not core city of msa",3070,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","alabama",2016,4863300,2947.8,700.5,2006.3,241.1,532.3,388.2,8.4,39.4,96.4,143362,34065,97574,11723,25886,18877,407,1916,4686,"AL00100","AL0010000","jefferson","AL","december","2016-12-01",0,0,1,73,1073,99073,"sheriffs office","jefferson county sheriff's office","jefferson county","msa-county 100,000+",147058,"east south central","not core city of msa",3070,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","alabama",2017,4874747,2957.3,645.7,2048.1,263.4,524.2,387.8,8.3,41.6,86.5,144160,31477,99842,12841,25551,18902,404,2028,4217,"AL00100","AL0010000","jefferson","AL","december","2017-12-01",0,0,1,73,1073,99073,"sheriffs office","jefferson county sheriff's office","jefferson county","msa-county 100,000+",144830,"east south central","not core city of msa",3070,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","alabama",2018,4887871,2817.2,590.1,1958.9,268.3,519.6,387.6,7.8,40.8,83.4,137700,28841,95747,13112,25399,18944,383,1996,4076,"AL00100","AL0010000","jefferson","AL","december","2018-12-01",0,0,1,73,1073,99073,"sheriffs office","jefferson county sheriff's office","jefferson county","msa-county 100,000+",146385,"east south central","not core city of msa",3070,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","alabama",2019,4903185,2674.4,531.9,1886.1,256.5,510.8,381,7.3,42.2,80.4,131133,26079,92477,12577,25046,18679,358,2068,3941,"AL00100","AL0010000","jefferson","AL","december","2019-12-01",0,0,1,73,1073,99073,"sheriffs office","jefferson county sheriff's office","jefferson county","msa-county 100,000+",146301,"east south central","not core city of msa",3070,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","alaska",2015,738432,2817.6,475.5,2065.1,277.1,730.2,497.1,8,122,103.1,20806,3511,15249,2046,5392,3671,59,901,761,"AK00101","AK0010100","anchorage","AK","december","2015-12-01",0,0,2,20,2020,3000,"local police department","anchorage police department","anchorage municipality","city 250,000 thru 499,999",301239,"pacific","core city of msa",3030,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","alaska",2016,741894,3353,546.3,2394.7,412.1,804.2,540.6,7,141.9,114.6,24876,4053,17766,3057,5966,4011,52,1053,850,"AK00101","AK0010100","anchorage","AK","december","2016-12-01",4,1,2,20,2020,3000,"local police department","anchorage police department","anchorage municipality","city 250,000 thru 499,999",301306,"pacific","core city of msa",3030,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"8","alaska",2017,739795,3542.1,563.8,2402.7,575.6,829,575.4,8.4,116.7,128.5,26204,4171,17775,4258,6133,4257,62,863,951,"AK00101","AK0010100","anchorage","AK","december","2017-12-01",1,1,2,20,2020,3000,"local police department","anchorage police department","anchorage municipality","city 250,000 thru 499,999",296188,"pacific","core city of msa",3030,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"9","alaska",2018,737438,3300.5,539.6,2219,541.9,885,595.4,6.4,161.6,121.5,24339,3979,16364,3996,6526,4391,47,1192,896,"AK00101","AK0010100","anchorage","AK","december","2018-12-01",3,0,2,20,2020,3000,"local police department","anchorage police department","anchorage municipality","city 250,000 thru 499,999",291992,"pacific","core city of msa",3030,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","alaska",2019,731545,2910.8,487.1,2066,357.7,867.1,596,9.4,148.7,112.9,21294,3563,15114,2617,6343,4360,69,1088,826,"AK00101","AK0010100","anchorage","AK","december","2019-12-01",4,1,2,20,2020,3000,"local police department","anchorage police department","anchorage municipality","city 250,000 thru 499,999",287731,"pacific","core city of msa",3030,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
