"","state","avg_violent_crime_rate","avg_property_crime_rate","total_trafficking_cases","avg_population"
"1","alabama",511.86,2875.12,0,4877616.4
"2","alaska",823.1,3184.8,3,737820.8
"3","arizona",463.7,2808.76,0,7045153.8
"4","arkansas",551.06,3073.94,0,3000472
"5","california",441.9,2475.92,0,39400151.2
"6","colorado",361.98,2669.22,0,5611714.6
"7","connecticut",212.92,1699.5,0,3578694.8
"8","delaware",461.48,2494.84,0,960174.6
"9","district of columbia",1104.96,4500.78,0,691114.8
"10","florida",412.7,2487.98,1,20929034.6
"11","georgia",360.08,2767.3,0,10418301.6
"12","hawaii",277.46,3065.98,0,1424812.2
"13","idaho",224.64,1560.86,0,1719257.2
"14","illinois",413.98,1965.66,0,12775291.6
"15","indiana",388.86,2350.52,0,6668729.6
"16","iowa",277.36,1936.76,0,3143103.6
"17","kansas",406.62,2632.98,0,2911374.4
"18","kentucky",221.16,2071.28,0,4450466
"19","louisiana",549.92,3291.18,0,4669099
"20","maine",120.44,1517.24,0,1335866
"21","maryland",470.44,2161.06,0,6032684.6
"22","massachusetts",358.3,1426.38,0,6852134.4
"23","michigan",442.26,1766.8,0,9959191.8
"24","minnesota",236.06,2123.9,0,5567392.6
"25","mississippi",270.86,2622.88,0,2985567.6
"26","missouri",508.84,2754.6,0,6110816.8
"27","montana",374.8,2517.64,0,1051409
"28","nebraska",291.5,2179.52,0,1917411.6
"29","nevada",592.96,2525.52,0,2988698
"30","new hampshire",184.26,1419.62,0,1344873.4
"31","new jersey",228.84,1493.44,0,8939767.2
"32","new mexico",766.18,3621.72,0,2089290.2
"33","new york",364.34,1495.52,0,19677249.8
"34","north carolina",366.46,2576.86,0,10266942.6
"35","north dakota",267.4,2125.48,0,758482.2
"36","ohio",292.56,2363.42,0,11652989.4
"37","oklahoma",445.18,2893.1,0,3933162.6
"38","oregon",275.22,2904.42,0,4134733.6
"39","pennsylvania",311.44,1619.64,0,12800263.2
"40","rhode island",230.76,1748.7,0,1057807.8
"41","south carolina",502.42,3138.18,0,5022895
"42","south dakota",407.76,1859.9,0,872096.6
"43","tennessee",623.08,2841.78,0,6713332.2
"44","texas",423.06,2582.32,0,28266806.4
"45","united states",386.86,2321.86,0,325134493.6
"46","utah",237.28,2651.7,0,3103206.4
"47","vermont",163.26,1449.64,0,624916.2
"48","virginia",205.88,1765.46,0,8463605
"49","washington",299.3,3151.92,0,7402915.6
"50","west virginia",330.64,1797.64,0,1817813.2
"51","wisconsin",304.04,1749.38,0,5796306
"52","wyoming",226.68,1809.3,0,581483.8
